# Time-averaged data for fix f_sc
# TimeStep v_a v_b v_c c_msd[4]
1110000 52.6545 52.6545 52.6545 0.0352011
1120000 52.6548 52.6548 52.6548 0.0359439
1130000 52.6538 52.6538 52.6538 0.0353466
1140000 52.6544 52.6544 52.6544 0.035912
1150000 52.6547 52.6547 52.6547 0.0366046
1160000 52.6549 52.6549 52.6549 0.0359711
1170000 52.654 52.654 52.654 0.0354695
1180000 52.6532 52.6532 52.6532 0.0360538
1190000 52.654 52.654 52.654 0.0358125
1200000 52.6547 52.6547 52.6547 0.0355291
