# Time-averaged data for fix f_lc
# TimeStep v_a v_b v_c
610000 52.406 52.406 52.406
620000 52.4068 52.4068 52.4068
630000 52.4075 52.4075 52.4075
640000 52.4076 52.4076 52.4076
650000 52.4072 52.4072 52.4072
660000 52.4075 52.4075 52.4075
670000 52.4074 52.4074 52.4074
680000 52.4074 52.4074 52.4074
690000 52.4072 52.4072 52.4072
700000 52.4071 52.4071 52.4071
