# Time-averaged data for fix f_lc
# TimeStep v_a v_b v_c
2810000 53.5196 53.5196 53.5196
2820000 53.5202 53.5202 53.5202
2830000 53.5211 53.5211 53.5211
2840000 53.5202 53.5202 53.5202
2850000 53.5202 53.5202 53.5202
2860000 53.5199 53.5199 53.5199
2870000 53.5221 53.5221 53.5221
2880000 53.5211 53.5211 53.5211
2890000 53.5214 53.5214 53.5214
2900000 53.5213 53.5213 53.5213
