# Time-averaged data for fix f_sc
# TimeStep v_a v_b v_c c_msd[4]
510000 52.2663 52.2663 52.2663 0.0148594
520000 52.266 52.266 52.266 0.0149716
530000 52.2669 52.2669 52.2669 0.0150603
540000 52.2662 52.2662 52.2662 0.0150722
550000 52.2665 52.2665 52.2665 0.0150503
560000 52.2662 52.2662 52.2662 0.0150935
570000 52.267 52.267 52.267 0.0150151
580000 52.2662 52.2662 52.2662 0.0150666
590000 52.2663 52.2663 52.2663 0.0150193
600000 52.266 52.266 52.266 0.0150743
