# Time-averaged data for fix f_lc
# TimeStep v_a v_b v_c
1210000 52.7656 52.7656 52.7656
1220000 52.7664 52.7664 52.7664
1230000 52.7662 52.7662 52.7662
1240000 52.7673 52.7673 52.7673
1250000 52.7658 52.7658 52.7658
1260000 52.7667 52.7667 52.7667
1270000 52.7663 52.7663 52.7663
1280000 52.7662 52.7662 52.7662
1290000 52.7661 52.7661 52.7661
1300000 52.7658 52.7658 52.7658
