# Time-averaged data for fix f_sc
# TimeStep v_a v_b v_c c_msd[4]
1510000 52.8728 52.8728 52.8728 0.0520706
1520000 52.8733 52.8733 52.8733 0.0540006
1530000 52.8729 52.8729 52.8729 0.0539614
1540000 52.8723 52.8723 52.8723 0.0564195
1550000 52.8732 52.8732 52.8732 0.0556074
1560000 52.8733 52.8733 52.8733 0.0540066
1570000 52.8731 52.8731 52.8731 0.0530225
1580000 52.8722 52.8722 52.8722 0.0543297
1590000 52.8739 52.8739 52.8739 0.0543226
1600000 52.8723 52.8723 52.8723 0.0536711
