# Time-averaged data for fix f_lc
# TimeStep v_a v_b v_c
10000 51.9121 51.9121 51.9121
20000 51.9132 51.9132 51.9132
30000 51.9134 51.9134 51.9134
40000 51.9131 51.9131 51.9131
50000 51.9136 51.9136 51.9136
60000 51.9136 51.9136 51.9136
70000 51.9134 51.9134 51.9134
80000 51.9134 51.9134 51.9134
90000 51.9133 51.9133 51.9133
100000 51.9134 51.9134 51.9134
