# Time-averaged data for fix f_sc
# TimeStep v_a v_b v_c c_msd[4]
1310000 52.7671 52.7671 52.7671 0.0429043
1320000 52.7667 52.7667 52.7667 0.0449714
1330000 52.7666 52.7666 52.7666 0.0441319
1340000 52.7665 52.7665 52.7665 0.0447665
1350000 52.7678 52.7678 52.7678 0.0446333
1360000 52.7677 52.7677 52.7677 0.0441348
1370000 52.7661 52.7661 52.7661 0.04411
1380000 52.7663 52.7663 52.7663 0.0451388
1390000 52.7681 52.7681 52.7681 0.0451358
1400000 52.7662 52.7662 52.7662 0.0436786
