# Time-averaged data for fix f_sc
# TimeStep v_a v_b v_c c_msd[4]
1710000 52.9749 52.9749 52.9749 0.0607209
1720000 52.9737 52.9737 52.9737 0.0635514
1730000 52.9721 52.9721 52.9721 0.0643234
1740000 52.9749 52.9749 52.9749 0.0700411
1750000 52.9729 52.9729 52.9729 0.0638209
1760000 52.9722 52.9722 52.9722 0.063216
1770000 52.9736 52.9736 52.9736 0.0660627
1780000 52.9727 52.9727 52.9727 0.0645174
1790000 52.9736 52.9736 52.9736 0.0659983
1800000 52.9737 52.9737 52.9737 0.0652899
