# Time-averaged data for fix f_lc
# TimeStep v_a v_b v_c
1810000 53.0708 53.0708 53.0708
1820000 53.071 53.071 53.071
1830000 53.0715 53.0715 53.0715
1840000 53.0711 53.0711 53.0711
1850000 53.0718 53.0718 53.0718
1860000 53.072 53.072 53.072
1870000 53.0714 53.0714 53.0714
1880000 53.0709 53.0709 53.0709
1890000 53.0724 53.0724 53.0724
1900000 53.0712 53.0712 53.0712
