# Time-averaged data for fix f_sc
# TimeStep v_a v_b v_c c_msd[4]
110000 51.9135 51.9135 51.9135 0.00445721
120000 51.9135 51.9135 51.9135 0.00445773
130000 51.9134 51.9134 51.9134 0.00447017
140000 51.9133 51.9133 51.9133 0.00446239
150000 51.9131 51.9131 51.9131 0.00444582
160000 51.9134 51.9134 51.9134 0.00450195
170000 51.9133 51.9133 51.9133 0.00446846
180000 51.9134 51.9134 51.9134 0.00448256
190000 51.9137 51.9137 51.9137 0.00448382
200000 51.9135 51.9135 51.9135 0.0044696
