# dE [eV] lambda
-49684.9429163131 0
-49684.4246388691 1.25995800054e-23
-49684.469104769 4.03173120691192e-22
-49684.9448102564 3.0614938318096e-21
-49685.4119004076 1.29006797684715e-20
-49685.997804167 3.93684379218627e-20
-49686.8319213613 9.79580059916016e-20
-49687.6404072444 2.11718791866951e-19
-49688.6230251326 4.12766710844092e-19
-49689.8825599685 7.43794220606677e-19
-49691.306181747 1.25958005399685e-18
-49693.2999354823 2.02849864960397e-18
-49695.5739785432 3.13402928019822e-18
-49698.1389356423 4.6762648790363e-18
-49700.2258943731 6.77342056406644e-18
-49702.1939771955 9.5633418600599e-18
-49703.7709111414 1.32050126186962e-17
-49704.9285361235 1.78800626366291e-17
-49705.7602508735 2.37942749715611e-17
-49706.3918771108 3.11790929563524e-17
-49706.7569628901 4.02931269111936e-17
-49707.0976267503 5.14236605538668e-17
-49707.8346302754 6.48881571081241e-17
-49708.7549030672 8.10357651102108e-17
-49709.5762106977 1.00248823913559e-16
-49710.257422999 1.22944368891678e-16
-49710.8944334684 1.49575636339277e-16
-49711.6181628375 1.80633568071631e-16
-49712.1632859109 2.16648315722234e-16
-49712.4893567101 2.58190744738755e-16
-49712.9804894045 3.05873938077334e-16
-49713.2324357321 3.60354699595232e-16
-49713.4535615755 4.22335057141875e-16
-49713.5861663379 4.92563765348314e-16
-49713.8845645563 5.71837808115123e-16
-49714.0873480672 6.61003900798775e-16
-49714.4900566819 7.60959992096509e-16
-49715.0656127521 8.72656765629723e-16
-49715.7456812032 9.97099141225922e-16
-49716.3360737777 1.13534777589924e-15
-49716.5762347821 1.28852056452958e-15
-49716.7272906724 1.45779414024036e-15
-49716.1696385922 1.64440537447495e-15
-49714.8556323185 1.84965287677178e-15
-49713.2037678693 2.07489849423818e-15
-49711.7159411219 2.32156881072292e-15
-49710.3195817183 2.59115664568759e-15
-49708.9150640571 2.88522255277669e-15
-49707.5370313878 3.20539631808662e-15
-49706.131105293 3.55337845813345e-15
-49704.9658682414 3.93094171751967e-15
-49703.958516377 4.33993256629972e-15
-49702.7477826846 4.78227269704453e-15
-49701.4273782444 5.25996052160503e-15
-49700.0536138062 5.77507266757458e-15
-49698.8750870982 6.32976547445047e-15
-49697.9357604802 6.92627648949445e-15
-49697.3001796518 7.56692596329231e-15
-49696.9206651928 8.25411834501256e-15
-49696.8827121628 8.99034377736425e-15
-49697.374969822 9.77817959125392e-15
-49697.9304380877 1.06202918001417e-14
-49698.5923458027 1.15194365940968e-14
-49699.5892657756 1.24784618335519e-14
-49700.6021188305 1.35003085427568e-14
-49701.8486352499 1.45880124029323e-14
-49702.903560407 1.57447052451215e-14
-49703.7246281081 1.69736165427425e-14
-49704.0906526357 1.82780749038391e-14
-49704.2517653332 1.96615095630314e-14
-49704.0762101142 2.11274518731657e-14
-49703.3991219075 2.2679536796664e-14
-49702.2935729817 2.43215043965728e-14
-49701.0677972718 2.60572013273113e-14
-49699.7442730921 2.78905823251196e-14
-49698.5319186883 2.9825711698206e-14
-49697.8432610133 3.18667648165941e-14
-49697.5315203392 3.40180296016692e-14
-49697.7307027976 3.6283908015425e-14
-49698.0238333043 3.86689175494092e-14
-49698.5575580895 4.11776927133692e-14
-49699.0517667009 4.38149865235976e-14
-49699.3824894777 4.65856719909773e-14
-49699.8987707947 4.94947436087263e-14
-49700.548293468 5.25473188398421e-14
-49701.133574247 5.57486396042469e-14
-49702.0681866605 5.91040737656313e-14
-49702.9385256042 6.26191166179988e-14
-49703.5500782532 6.62993923719101e-14
-49703.9307472237 7.01506556404268e-14
-49704.4789087581 7.4178792924756e-14
-49704.7728908791 7.83898240995937e-14
-49705.0110829748 8.27899038981693e-14
-49705.1135427585 8.73853233969897e-14
-49705.1496454412 9.21825115002833e-14
-49705.2634542834 9.71880364241441e-14
-49705.513922494 1.02408607180377e-13
-49705.8919189547 1.0785107506004e-13
-49706.3278093183 1.13522435116693e-13
-49706.7686517964 1.19429827649339e-13
-49707.7332688123 1.2558053968507e-13
-49708.6961776753 1.31982006461414e-13
-49709.7045244341 1.38641812908381e-13
-49710.9629417424 1.45567695130204e-13
-49712.4022349478 1.52767541886793e-13
-49713.7588828799 1.60249396074876e-13
-49714.9211027452 1.68021456208849e-13
-49715.3387562914 1.76092077901321e-13
-49715.0486313985 1.84469775343366e-13
-49714.3409893714 1.93163222784467e-13
-49713.268462895 2.02181256012169e-13
-49711.9613039034 2.11532873831425e-13
-49710.3896892807 2.21227239543649e-13
-49708.4946603042 2.31273682425464e-13
-49706.7404116716 2.41681699207157e-13
-49704.8974180195 2.52460955550827e-13
-49703.1430837602 2.63621287528239e-13
-49701.465287935 2.7517270309838e-13
-49700.2456975898 2.87125383584706e-13
-49699.2968103478 2.99489685152106e-13
-49698.5685972424 3.12276140283551e-13
-49697.97614185 3.25495459256451e-13
-49697.5023859102 3.39158531618716e-13
-49697.1989325913 3.53276427664509e-13
-49696.7990891473 3.67860399909708e-13
-49696.2465154866 3.82921884567067e-13
-49695.6260769189 3.98472503021072e-13
-49694.9010905283 4.14524063302507e-13
-49694.1429538742 4.31088561562716e-13
-49693.6684746597 4.48178183547565e-13
-49693.8008143331 4.65805306071109e-13
-49694.2932924347 4.83982498488954e-13
-49694.6862699438 5.02722524171331e-13
-49695.0828315117 5.22038341975856e-13
-49695.2327061882 5.41943107720004e-13
-49695.3103242091 5.62450175653281e-13
-49694.9116915818 5.83573099929088e-13
-49694.3738944883 6.05325636076304e-13
-49693.9812733754 6.27721742470552e-13
-49693.808893199 6.50775581805178e-13
