T [K],F [eV/atom]
103.76499999999999,-4.263042894650327
103.77999999999996,-4.263042687319187
103.79499999999999,-4.263042480057208
103.81,-4.263042272794315
103.825,-4.263042065414066
103.84,-4.263041857722358
103.85500000000002,-4.263041649668776
103.87,-4.263041441302842
103.88499999999998,-4.263041232611366
103.89999999999999,-4.26304102361827
103.91499999999998,-4.263040814311237
103.92999999999999,-4.263040604655249
103.94500000000001,-4.263040394614666
103.96000000000005,-4.263040184147709
103.975,-4.2630399732699615
103.98999999999998,-4.263039762140436
104.00499999999997,-4.263039550886858
104.02000000000002,-4.263039339521754
104.03499999999998,-4.2630391280346265
104.05000000000001,-4.263038916486174
104.06500000000005,-4.263038705075647
104.07999999999994,-4.263038493937104
104.09500000000006,-4.263038283117557
104.10999999999997,-4.263038072770707
104.12499999999996,-4.263037862966052
104.14000000000003,-4.263037653686489
104.15499999999999,-4.26303744500186
104.17000000000006,-4.263037237060705
104.18500000000002,-4.26303703002856
104.19999999999997,-4.263036823967907
104.215,-4.263036618981896
104.22999999999996,-4.263036415154691
104.24500000000002,-4.263036212519037
104.26,-4.2630360110679035
104.27500000000005,-4.263035810788642
104.28999999999998,-4.263035611768386
104.30499999999999,-4.263035414050988
104.31999999999998,-4.263035217687281
104.33500000000001,-4.263035022739058
104.35000000000002,-4.263034829227809
104.36499999999997,-4.2630346371864025
104.37999999999998,-4.263034446672739
104.39500000000004,-4.26303425779623
104.41000000000004,-4.263034070541032
104.42500000000003,-4.263033884821685
104.44000000000005,-4.263033700673591
104.45500000000001,-4.263033518128966
104.47000000000004,-4.263033337176452
104.485,-4.263033157823727
104.50000000000003,-4.26303298002804
104.51500000000006,-4.263032803741517
104.52999999999996,-4.263032628893542
104.54499999999996,-4.263032455239196
104.55999999999999,-4.263032282483629
104.57499999999996,-4.263032110378908
104.58999999999996,-4.2630319387347235
104.60499999999996,-4.263031767360454
104.62000000000003,-4.263031596005409
104.63500000000002,-4.263031424501823
104.65000000000003,-4.26303125272539
104.665,-4.26303108050611
104.67999999999996,-4.263030907799046
104.69499999999996,-4.263030734569891
104.70999999999998,-4.263030560706365
104.72500000000001,-4.263030386180441
104.74000000000002,-4.263030210968632
104.75499999999997,-4.263030035037005
104.76999999999995,-4.263029858406068
104.78499999999994,-4.263029681137206
104.79999999999997,-4.26302950321961
104.81500000000004,-4.2630293246268325
104.82999999999997,-4.26302914538507
104.84500000000003,-4.263028965566458
104.86000000000004,-4.263028785225474
104.87499999999996,-4.263028604422883
104.88999999999999,-4.263028423262469
104.90500000000006,-4.263028241899501
104.91999999999997,-4.263028060510819
104.93500000000002,-4.263027879158834
104.94999999999999,-4.263027697943062
104.96499999999996,-4.263027517031657
104.97999999999998,-4.263027336581673
104.99500000000002,-4.26302715682344
105.00999999999999,-4.263026978045557
105.025,-4.263026800512578
105.04,-4.263026624363295
105.05500000000005,-4.2630264496577
105.07000000000001,-4.263026276456421
105.08500000000005,-4.263026104801397
105.10000000000001,-4.263025934752647
105.115,-4.263025766353411
105.13000000000001,-4.26302559959797
105.14499999999995,-4.263025434444918
105.16000000000005,-4.2630252707684155
105.17499999999995,-4.263025108362959
105.19,-4.263024947047318
105.20499999999994,-4.263024786593856
105.21999999999997,-4.263024626793068
105.23499999999996,-4.26302446749633
105.24999999999997,-4.263024308520103
105.26500000000004,-4.2630241496816135
105.28000000000004,-4.263023990830443
105.29499999999999,-4.263023831911565
105.31000000000002,-4.2630236727830955
105.32500000000003,-4.2630235133208645
105.34000000000005,-4.263023353536905
105.35500000000003,-4.263023193429815
105.36999999999998,-4.2630230330969745
105.38500000000005,-4.2630228727069195
105.39999999999998,-4.263022712424062
105.415,-4.263022552407535
105.43000000000005,-4.263022392810608
105.44499999999998,-4.263022233865663
105.46000000000004,-4.2630220757300785
105.47500000000004,-4.263021918458629
105.49000000000005,-4.263021762162929
105.50499999999997,-4.263021606942356
105.52000000000002,-4.263021452938302
105.53500000000001,-4.263021300197112
105.54999999999998,-4.263021148708066
105.56499999999997,-4.26302099853118
105.58000000000003,-4.263020849658634
105.595,-4.263020702033194
105.61,-4.2630205557140695
105.62499999999994,-4.263020410725066
105.64000000000001,-4.263020266943867
105.65500000000003,-4.263020124343495
105.67000000000003,-4.263019982905225
105.685,-4.263019842653991
105.69999999999999,-4.2630197036073945
105.71499999999997,-4.263019565757134
105.72999999999995,-4.263019429121633
105.74499999999998,-4.26301929363049
105.76,-4.263019159188396
105.77499999999998,-4.263019025706406
105.79000000000005,-4.263018893078438
105.80499999999999,-4.263018761168438
105.82,-4.263018629798947
105.835,-4.263018498828976
105.85,-4.263018368148273
105.86500000000005,-4.263018237622919
105.88000000000001,-4.263018107176499
105.89500000000005,-4.263017976769868
105.91000000000005,-4.263017846405421
105.92499999999998,-4.263017715996719
105.94,-4.26301758547744
105.95499999999997,-4.263017454957285
105.96999999999996,-4.263017324453493
105.985,-4.263017193911763
106.00000000000004,-4.263017063298064
106.01500000000001,-4.26301693265248
106.03,-4.2630168020424755
106.04499999999999,-4.263016671539494
106.06000000000002,-4.263016541196164
106.07500000000002,-4.263016410996213
106.09000000000003,-4.263016280938524
106.10499999999999,-4.263016151022023
106.11999999999998,-4.263016021173225
106.13499999999999,-4.263015891339042
106.15000000000005,-4.26301576157959
106.16500000000002,-4.263015631928437
106.17999999999996,-4.26301550237661
106.19499999999995,-4.263015372923148
106.21000000000002,-4.263015243698945
106.22499999999995,-4.263015114855873
106.23999999999998,-4.263014986459751
106.25500000000001,-4.26301485846521
106.27000000000001,-4.263014730801803
106.28500000000003,-4.263014603493782
106.30000000000001,-4.263014476568934
106.31499999999998,-4.263014350061771
106.32999999999994,-4.263014224069405
106.34499999999996,-4.2630140986469875
106.36000000000001,-4.263013973870985
106.37499999999994,-4.26301384989214
106.38999999999997,-4.263013726825225
106.40500000000002,-4.263013604739379
106.42000000000002,-4.263013483682589
106.43500000000003,-4.2630133638131555
106.44999999999997,-4.263013245321317
106.46499999999996,-4.263013128412579
106.48000000000002,-4.26301301326891
106.49500000000002,-4.263012900006266
106.50999999999993,-4.263012788667284
106.52499999999995,-4.263012679336625
106.54000000000005,-4.263012572063577
106.555,-4.263012466801931
106.57,-4.263012363515773
106.58500000000001,-4.263012262101859
106.60000000000007,-4.263012162348166
106.615,-4.263012063942459
106.62999999999998,-4.263011966660736
106.645,-4.263011870422381
106.66000000000003,-4.263011775166845
106.67499999999998,-4.263011680657506
106.68999999999997,-4.2630115866780915
106.70500000000003,-4.263011493125886
106.72000000000001,-4.263011399879253
106.73500000000003,-4.263011306845874
106.75,-4.263011213901568
106.76499999999999,-4.263011120922263
106.78000000000006,-4.263011027874669
106.795,-4.263010934668075
106.80999999999996,-4.2630108410729965
106.825,-4.2630107469511955
106.83999999999997,-4.263010652295725
106.85500000000002,-4.263010557194538
106.87000000000002,-4.263010461720021
106.88500000000005,-4.263010365853232
106.90000000000005,-4.263010269508135
106.91500000000003,-4.263010172582482
106.92999999999996,-4.263010075043971
106.94500000000005,-4.263009976797211
106.95999999999995,-4.263009877774822
106.97500000000001,-4.263009778041493
106.99000000000007,-4.2630096776511355
107.00500000000001,-4.263009576650978
107.02,-4.263009475184121
107.03500000000004,-4.263009373356297
107.04999999999997,-4.263009271169864
107.065,-4.263009168727497
