T [K],F [eV/atom]
100,-4.263114269030007
200,-4.270746357598671
300,-4.291998722717316
400,-4.322124110728686
500,-4.358930319631479
600,-4.401047059088097
700,-4.447640047261149
800,-4.498034072143918
900,-4.551877265800923
1000,-4.60864750666142
1100,-4.668114739232414
1200,-4.7300418793932595
1300,-4.794289108265739
1400,-4.860336857254948
1500,-4.928636647341808
1600,-4.998628327829674
